modifico,perteneciente,ruta,id,url
FIO,ALE,X-EM55A-I,4270225,http://www.openstreetmap.org/relation/4270225
FIO,ALE,X-EM59-I,4273973,http://www.openstreetmap.org/relation/4273973
FIO,ALE,X-EM64-I,4275251,http://www.openstreetmap.org/relation/4275251
FIO,ALE,X-EM71-I,4276585,http://www.openstreetmap.org/relation/4276585
FIO,ALE,X-EM73-I,4276653,http://www.openstreetmap.org/relation/4276653
FIO,ALE,X-EM74-I,4276660,http://www.openstreetmap.org/relation/4276660
FIO,ALE,X-EM76-I,4439267,http://www.openstreetmap.org/relation/4439267
FIO,ALE,X-EO01-I,4439529,http://www.openstreetmap.org/relation/4439529
FIO,ALE,X-EO05-I,4439613,http://www.openstreetmap.org/relation/4439613
FIO,ALE,X-EO07-I,4442976,http://www.openstreetmap.org/relation/4442976
FIO,ALE,X-EO17-I,4443104,http://www.openstreetmap.org/relation/4443104
FIO,ALE,X-EO18-I,4443141,http://www.openstreetmap.org/relation/4443141
FIO,ALE,X-EO20-I,4443210,http://www.openstreetmap.org/relation/4443210
FIO,ALE,X-EO21-I,4443293,http://www.openstreetmap.org/relation/4443293
FIO,ALE,X-EO24-I,4443365,http://www.openstreetmap.org/relation/4443365
FIO,ALE,X-EO25-I,4443463,http://www.openstreetmap.org/relation/4443463
FIO,ALE,X-EO35-I,4446364,http://www.openstreetmap.org/relation/4446364
FIO,ALE,X-EO39-I,4455258,http://www.openstreetmap.org/relation/4455258
FIO,ALE,X-EO47-I,4455342,http://www.openstreetmap.org/relation/4455342
FIO,ALE,X-EO48-I,4455406,http://www.openstreetmap.org/relation/4455406
FIO,ALE,X-EO49-I,4455529,http://www.openstreetmap.org/relation/4455529
FIO,ALE,X-EO50-I,4455849,http://www.openstreetmap.org/relation/4455849
FIO,ALE,X-EO54-I,4459515,http://www.openstreetmap.org/relation/4459515
FIO,ALE,X-EO64-I,4459740,http://www.openstreetmap.org/relation/4459740
FIO,ALE,X-EO65A-I,4459792,http://www.openstreetmap.org/relation/4459792
FIO,ALE,X-EO65B-I,4459804,http://www.openstreetmap.org/relation/4459804
FIO,ALE,X-EO71-I,4460622,http://www.openstreetmap.org/relation/4460622
FIO,ALE,X-EO96A-I,4460728,http://www.openstreetmap.org/relation/4460728
FIO,ALE,X-EO96B-I,4460768,http://www.openstreetmap.org/relation/4460768
FIO,ALE,X-EO100-I,4462202,http://www.openstreetmap.org/relation/4462202
FIO,ALE,X-EO101-I,4462258,http://www.openstreetmap.org/relation/4462258
FIO,ALE,X-EO105-I,4462275,http://www.openstreetmap.org/relation/4462275
FIO,ALE,X-EO105A-I,4462293,http://www.openstreetmap.org/relation/4462293
FIO,ALE,X-EO126-I,4464913,http://www.openstreetmap.org/relation/4464913
FIO,ALE,X-ICR06-I,4467149,http://www.openstreetmap.org/relation/4467149
FIO,ALE,X-ICR10-I,4467172,http://www.openstreetmap.org/relation/4467172
FIO,ALE,X-ICR15-I,4467486,http://www.openstreetmap.org/relation/4467486
FIO,ALE,X-IM01-I,4467510,http://www.openstreetmap.org/relation/4467510
FIO,ALE,X-IM02-I,4467530,http://www.openstreetmap.org/relation/4467530
FIO,ALE,X-IM03-I,4470459,http://www.openstreetmap.org/relation/4470459
FIO,ALE,X-IM06-I,4470758,http://www.openstreetmap.org/relation/4470758
FIO,ALE,X-IM08-I,4470877,http://www.openstreetmap.org/relation/4470877
FIO,ALE,X-IM09-I,4470960,http://www.openstreetmap.org/relation/4470960
FIO,ALE,X-IM11-I,4471025,http://www.openstreetmap.org/relation/4471025
FIO,ALE,X-IM12-I,4471042,http://www.openstreetmap.org/relation/4471042
FIO,ALE,X-IM14-I,4471051,http://www.openstreetmap.org/relation/4471051
FIO,ALE,X-IM15-I,4471063,http://www.openstreetmap.org/relation/4471063
FIO,ALE,X-IM19-I,4471136,http://www.openstreetmap.org/relation/4471136
FIO,ALE,X-IM20-I,4475362,http://www.openstreetmap.org/relation/4475362
FIO,ALE,X-IM21-I,4475645,http://www.openstreetmap.org/relation/4475645
FIO,ALE,X-IM24-I,4476425,http://www.openstreetmap.org/relation/4476425
FIO,ALE,X-IM25-I,4476477,http://www.openstreetmap.org/relation/4476477
FIO,ALE,X-IM26-I,4476537,http://www.openstreetmap.org/relation/4476537
FIO,ALE,X-IM29-I,4476549,http://www.openstreetmap.org/relation/4476549
FIO,ALE,X-IM30-I,4479367,http://www.openstreetmap.org/relation/4479367
FIO,ALE,X-IM31-I,4479736,http://www.openstreetmap.org/relation/4479736
FIO,ALE,X-IM32-I,4479831,http://www.openstreetmap.org/relation/4479831
FIO,ALE,X-IM33-I,4480094,http://www.openstreetmap.org/relation/4480094
FIO,ALE,X-IM34-I,4480142,http://www.openstreetmap.org/relation/4480142
FIO,ALE,X-IM34B-I,4480173,http://www.openstreetmap.org/relation/4480173
FIO,ALE,X-IM35-I,4480182,http://www.openstreetmap.org/relation/4480182
FIO,ALE,X-IM40-I,4480192,http://www.openstreetmap.org/relation/4480192
FIO,ALE,X-IM41_I,4486701,http://www.openstreetmap.org/relation/4486701
FIO,ALE,X-CR02-V,4510633,http://www.openstreetmap.org/relation/4510633
